master_id,attribute,f_KID_design,F_filter_design,comment
0,wideband,5.2,,
1,wideband,5.22,,
2,wideband,5.24,,
3,wideband,5.26,,
4,wideband,5.28,,
5,wideband,5.3,,
6,wideband,5.32,,
10,blind,6.6,,
11,blind,6.62,,
12,blind,6.64,,
13,blind,6.66,,
14,blind,6.68,,
15,blind,6.7,,
20,Al,5.1,,
21,Al,5.12,,
30,NbTiN,6.8,,
31,NbTiN,6.82,,
100,filter,5.5,372.0,
107,filter,5.61666666667,370.937142857,
114,filter,5.73333333333,369.877322449,
121,filter,5.85,368.820530099,
128,filter,6.16666666667,367.766757156,
135,filter,6.28333333333,366.715994993,
142,filter,6.4,365.668235007,
101,filter,5.51666666667,364.623468621,
108,filter,5.63333333333,363.581687282,
115,filter,5.75,362.542882462,
122,filter,5.86666666667,361.507045654,
129,filter,6.18333333333,360.474168381,
136,filter,6.3,359.444242186,
143,filter,6.41666666667,358.417258637,
102,filter,5.53333333333,357.393209326,
109,filter,5.65,356.372085871,
116,filter,5.76666666667,355.353879911,
123,filter,5.88333333333,354.338583112,
130,filter,6.2,353.32618716,
137,filter,6.31666666667,352.316683768,
144,filter,6.43333333333,351.310064672,
103,filter,5.55,350.30632163,
110,filter,5.66666666667,349.305446425,
117,filter,5.78333333333,348.307430864,
124,filter,6.1,347.312266776,
131,filter,6.21666666667,346.319946013,
138,filter,6.33333333333,345.330460453,
145,filter,6.45,344.343801995,
104,filter,5.56666666667,343.359962561,
111,filter,5.68333333333,342.378934096,
118,filter,5.8,341.40070857,
125,filter,6.11666666667,340.425277974,
132,filter,6.23333333333,339.452634323,
139,filter,6.35,338.482769653,
146,filter,6.46666666667,337.515676026,
105,filter,5.58333333333,336.551345523,
112,filter,5.7,335.58977025,
119,filter,5.81666666667,334.630942335,
126,filter,6.13333333333,333.674853928,
133,filter,6.25,332.721497203,
140,filter,6.36666666667,331.770864354,
147,filter,6.48333333333,330.822947598,
106,filter,5.6,329.877739177,
113,filter,5.71666666667,328.93523135,
120,filter,5.83333333333,327.995416404,
127,filter,6.15,327.058286643,
134,filter,6.26666666667,326.123834395,
141,filter,6.38333333333,325.192052011,
148,filter,6.5,324.262931862,
