kid_id,master_id,attribute,f_KID_design,F_filter_design,f_KID_meas,ferr_KID_meas,F_filter_meas,Ferr_filter_meas,Q_filter_meas,Qerr_filter_meas
0,0,wideband,5.2,nan,4.85505047604,2.38526050951E-07,nan,nan,nan,nan
1,3,wideband,5.26,nan,4.88109801202,3.36503963654E-07,nan,nan,nan,nan
2,1,wideband,5.22,nan,4.88373495851,2.49977825362E-07,nan,nan,nan,nan
3,4,wideband,5.28,nan,4.90409964996,3.98258508516E-07,nan,nan,nan,nan
4,2,wideband,5.24,nan,4.91675522445,3.5624055206E-07,nan,nan,nan,nan
5,5,wideband,5.3,nan,4.93063340665,3.53019009065E-07,nan,nan,nan,nan
6,6,wideband,5.32,nan,4.94123142006,3.35563704102E-07,nan,nan,nan,nan
7,100,filter,5.5,372,5.14183932808,1.21777444549E-07,376.128247529,0.00803855349393,272.619624896,4.51432264914
8,102,filter,5.53333333333,357.393209326,5.15037026246,3.81845583035E-06,363.141851053,0.00428099490582,228.847379914,1.74644449646
9,101,filter,5.51666666667,364.623468621,5.15075851735,4.15353056684E-06,369.353871383,0.00648014896599,243.579709908,2.9452382945
10,103,filter,5.55,350.30632163,5.1520977859,2.04267845124E-07,356.750374959,0.00621797877375,252.86156179,3.15220506359
11,104,filter,5.56666666667,343.359962561,5.15944284486,3.75573266291E-07,350.445554066,0.00496246356037,285.054649417,3.25452596163
12,105,filter,5.58333333333,336.551345523,5.17465488138,2.50455222582E-07,344.246912962,0.00561095812686,303.686749316,4.2517938835
13,106,filter,5.6,329.877739177,5.18959633341,1.9482667281E-07,337.395160645,0.00326940907258,282.599215626,2.18892075612
14,107,filter,5.61666666667,370.937142857,5.25407448907,6.86130947614E-07,375.031389131,0.00465106799389,277.529996106,2.70782291059
15,110,filter,5.66666666667,349.305446425,5.26746776198,9.06904481249E-06,355.940439382,0.00757556964456,379.520170963,8.67069583608
16,111,filter,5.68333333333,342.378934096,5.26803852386,1.43803247382E-05,349.437297864,0.00394028976742,321.332436573,3.29322914337
17,108,filter,5.63333333333,363.581687282,5.27005337664,4.95063469954E-06,368.248078664,0.0023259848544,306.686698638,1.6805716252
18,109,filter,5.65,356.372085871,5.27066178139,2.53990480757E-06,362.389499322,0.00369124836931,357.857490466,3.68954868309
19,112,filter,5.7,335.58977025,5.28230398739,3.4389781386E-07,343.192167028,0.0025424536655,327.671411876,2.24979405114
20,113,filter,5.71666666667,328.93523135,5.29580924646,5.65340788028E-07,336.103518776,0.00802992313407,201.706700433,2.74966080411
21,114,filter,5.73333333333,369.877322449,5.3589616074,6.85437301097E-07,374.600698254,0.0031396250477,357.198495307,3.02714766179
22,118,filter,5.8,341.40070857,5.3815488157,1.84059158759E-06,348.668726316,0.00716813619934,225.332340522,2.95255264583
23,115,filter,5.75,362.542882462,5.38250288092,3.47830476062E-06,367.273492911,0.00522357130065,270.289181386,2.93935816177
